Name,Sub-Sector,Market Cap,PE Ratio,6M Return,PB Ratio,PS Ratio,EV/EBITDA Ratio,Price / CFO,Dividend Yield,1Y Historical EPS Growth,Earnings Per Share
"Reliance Industries Ltd","Oil & Gas - Refining & Marketing","1811341.94","26.02","-8.28","1.96","1.97","12.31","11.41","0.37","9.41","97.93"
"Tata Consultancy Services Ltd","IT Services & Consulting","1471204.84","32.05","4.94","16.11","6.00","21.18","33.18","1.80","9.54","126.17"
"HDFC Bank Ltd","Private Banks","1324548.40","20.68","15.14","2.82","3.25","13.92","69.46","1.12","17.59","97.24"
"Bharti Airtel Ltd","Telecom Services","1009165.73","135.15","25.59","9.56","6.55","16.45","12.79","0.45","-8.77","12.85"
"ICICI Bank Ltd","Private Banks","882162.45","19.93","14.80","3.27","3.74","11.76","5.61","0.80","29.34","63.20"
"Infosys Ltd","IT Services & Consulting","775945.34","29.58","29.88","8.77","4.90","18.40","30.78","2.45","9.57","63.39"
"State Bank of India","Public Banks","701475.13","10.46","1.68","1.63","1.18","4.11","32.43","-","20.55","75.17"
"Hindustan Unilever Ltd","FMCG - Household Products","624826.80","60.80","17.53","12.15","9.93","39.70","40.39","1.58","1.55","43.74"
"ITC Ltd","FMCG - Tobacco","600903.07","29.37","11.92","8.02","8.16","20.02","34.98","2.86","5.91","16.42"
"Life Insurance Corporation Of India","Insurance","575226.92","14.06","-7.77","6.94","0.67","11.24","22.02","1.10","13.67","64.69"
"HCL Technologies Ltd","IT Services & Consulting","499484.54","31.81","24.15","7.32","4.48","18.61","22.25","2.83","5.73","57.86"
"Larsen and Toubro Ltd","Construction & Engineering","475115.74","36.38","-4.29","4.63","2.11","16.53","26.01","0.98","26.08","93.95"
"Sun Pharmaceutical Industries Ltd","Pharmaceuticals","441321.68","46.08","23.89","6.58","8.85","30.90","36.37","0.73","13.01","39.91"
"Bajaj Finance Ltd","Consumer Finance","432805.53","29.95","-3.64","5.64","7.87","35.79","-","0.51","24.07","236.43"
"NTPC Ltd","Power Generation","395914.88","19.02","17.61","2.40","2.15","11.13","9.71","1.90","23.06","21.46"
"Maruti Suzuki India Ltd","Four Wheelers","375906.01","27.87","-8.00","4.39","2.57","16.14","22.37","1.05","59.96","437.59"
"Axis Bank Ltd","Private Banks","358985.98","13.61","9.91","2.28","2.60","6.65","-","0.09","143.23","85.62"
"Kotak Mahindra Bank Ltd","Private Banks","351467.66","19.30","-2.50","2.70","3.73","11.61","22.41","0.11","21.93","91.65"
