Name,Sub-Sector,Market Cap,PE Ratio,6M Return,PB Ratio,PS Ratio,EV/EBITDA Ratio,Price / CFO,Dividend Yield,1Y Historical EPS Growth,Earnings Per Share
"Tata Consultancy Services Ltd","IT Services & Consulting","1476125.44","32.15","5.57","16.16","6.02","21.25","33.29","1.79","9.54","126.17"
"HDFC Bank Ltd","Private Banks","1319130.56","20.59","14.32","2.81","3.23","13.85","69.18","1.12","17.59","97.24"
"Bharti Airtel Ltd","Telecom Services","1013163.02","135.69","30.44","9.60","6.57","16.51","12.84","0.45","-8.77","12.85"
"ICICI Bank Ltd","Private Banks","887367.47","20.05","15.87","3.29","3.76","11.84","5.64","0.79","29.34","63.20"
"Infosys Ltd","IT Services & Consulting","767392.29","29.25","29.31","8.67","4.85","18.19","30.44","2.48","9.57","63.39"
"State Bank of India","Public Banks","726419.45","10.83","6.25","1.69","1.22","4.37","33.58","-","20.55","75.17"
"Hindustan Unilever Ltd","FMCG - Household Products","632874.15","61.58","20.17","12.31","10.06","40.22","40.91","1.56","1.55","43.74"
"ITC Ltd","FMCG - Tobacco","604930.01","29.57","13.72","8.08","8.22","20.16","35.21","2.84","5.91","16.42"
"Life Insurance Corporation Of India","Insurance","585884.54","14.32","-4.96","7.07","0.68","11.46","22.43","1.08","13.67","64.69"
"HCL Technologies Ltd","IT Services & Consulting","498902.73","31.77","25.77","7.31","4.48","18.58","22.22","2.83","5.73","57.86"
"Larsen and Toubro Ltd","Construction & Engineering","493018.17","37.75","-0.75","4.81","2.19","17.06","26.99","0.95","26.08","93.95"
"Sun Pharmaceutical Industries Ltd","Pharmaceuticals","455153.84","47.53","23.17","6.78","9.12","31.89","37.51","0.71","13.01","39.91"
"Bajaj Finance Ltd","Consumer Finance","419510.43","29.03","-7.01","5.47","7.63","35.12","-","0.53","24.07","236.43"
"NTPC Ltd","Power Generation","412108.31","19.80","23.94","2.50","2.24","11.42","10.10","1.82","23.06","21.46"
"Maruti Suzuki India Ltd","Four Wheelers","382813.43","28.38","-4.77","4.47","2.62","16.45","22.79","1.03","59.96","437.59"
"Axis Bank Ltd","Private Banks","368226.87","13.96","12.94","2.34","2.67","6.90","-","0.08","143.23","85.62"
"Mahindra and Mahindra Ltd","Four Wheelers","359252.83","31.88","43.41","4.52","2.52","16.02","-","0.65","9.48","97.44"
"Kotak Mahindra Bank Ltd","Private Banks","355722.33","19.53","-1.15","2.74","3.77","11.78","22.68","0.11","21.93","91.65"
"Oil and Natural Gas Corporation Ltd","Oil & Gas - Exploration & Production","347970.52","7.07","-0.07","0.95","0.57","4.21","3.51","4.43","34.08","39.13"
"Adani Enterprises Ltd","Commodities Trading","339057.90","104.66","-4.10","7.67","3.45","32.02","32.88","0.04","29.16","28.42"
"Tata Motors Ltd","Four Wheelers","332503.99","10.59","-7.22","3.57","0.75","5.95","4.90","0.61","1199.95","94.50"
"UltraTech Cement Ltd","Cement","313252.79","44.72","13.63","5.20","4.38","23.53","28.75","0.65","38.33","242.65"
"Power Grid Corporation of India Ltd","Power Transmission & Distribution","307989.50","19.78","16.75","3.53","6.55","10.48","8.26","3.40","0.99","16.74"
"Hindustan Aeronautics Ltd","Aerospace & Defense Equipments","301915.13","39.62","19.26","10.36","9.35","23.60","36.72","0.78","30.77","113.96"
"Coal India Ltd","Mining - Coal","299138.83","8.00","9.58","3.58","1.98","4.84","16.52","5.25","17.75","60.69"
"Titan Company Ltd","Precious Metals Jewellery & Watches","298335.50","85.34","-6.49","31.76","5.78","53.33","176.01","0.33","7.44","39.28"
"Adani Ports and Special Economic Zone Ltd","Ports","297127.11","36.63","4.12","5.43","10.53","20.89","19.79","-","51.09","37.55"
"Bajaj Auto Limited","Two Wheelers","293234.45","38.04","19.38","10.12","6.30","27.59","44.71","0.76","29.50","274.25"
"Asian Paints Ltd","Paints","292327.48","53.54","7.30","15.05","8.05","34.64","47.89","1.09","32.97","56.92"
"Wipro Ltd","IT Services & Consulting","286411.47","25.93","18.64","3.84","3.10","13.53","16.25","0.18","-0.35","20.62"
"Bajaj Finserv Ltd","Insurance","280229.83","34.39","7.91","2.70","2.54","26.95","-","0.06","26.86","51.14"
"Adani Green Energy Ltd","Renewable Energy","270996.28","246.36","-4.62","15.53","25.21","38.89","35.14","-","12.22","6.94"
"Trent Ltd","Retail - Apparel","270403.31","181.87","82.47","65.91","20.23","91.63","200.45","0.04","234.39","41.82"
"Siemens Ltd","Conglomerates","266434.93","135.87","29.70","20.35","13.27","86.81","190.31","0.13","27.09","55.06"
"Avenue Supermarts Ltd","Retail - Department Stores","258565.53","101.95","-16.49","13.83","5.08","60.80","94.17","-","6.39","39.05"
"JSW Steel Ltd","Iron & Steel","239432.22","27.17","14.82","3.00","1.36","10.69","19.82","0.93","111.38","29.02"
"Adani Power Ltd","Power Generation","232804.83","11.18","1.12","5.37","3.86","9.24","16.43","0.01","94.18","54.00"
"Zomato Ltd","Online Services","231324.31","659.04","37.42","11.34","17.85","258.78","358.09","-","133.95","0.41"
"Nestle India Ltd","FMCG - Foods","227025.27","57.73","-4.23","67.95","8.96","37.93","54.38","1.37","1211.59","40.79"
"Indian Oil Corporation Ltd","Oil & Gas - Refining & Marketing","226109.27","5.42","-6.31","1.20","0.29","4.32","3.18","7.31","326.16","30.30"
"DLF Ltd","Real Estate","213062.46","78.13","-0.51","5.40","30.62","80.28","83.92","0.58","33.96","11.02"
"Hindustan Zinc Ltd","Mining - Diversified","212005.38","27.32","22.47","13.95","7.07","14.30","15.89","2.59","-26.22","18.35"
"Jio Financial Services Ltd","Consumer Finance","207879.46","129.56","-14.50","1.49","91.05","99.58","-","-","-96.74","5.05"
"Bharat Electronics Ltd","Electronic Equipments","206355.06","51.79","21.00","12.63","9.86","34.15","44.29","0.78","33.51","5.45"
"Tata Steel Ltd","Iron & Steel","193532.19","-43.61","-4.21","2.09","0.84","16.72","9.53","2.32","-150.12","-3.60"
"Indian Railway Finance Corp Ltd","Specialized Finance","189088.21","29.49","0.41","3.84","7.09","93.54","23.89","1.04","3.97","4.91"
"Varun Beverages Ltd","Soft Drinks","187919.74","91.40","1.11","26.52","11.66","52.01","78.60","0.17","37.29","6.33"
"Vedanta Ltd","Metals - Diversified","185441.15","43.75","24.67","4.41","1.24","6.64","5.20","5.92","-59.91","11.40"
"Grasim Industries Ltd","Cement","182366.15","32.42","19.19","1.31","1.38","12.26","-","0.36","-17.46","85.25"
"Interglobe Aviation Ltd","Airlines","177337.57","21.70","23.18","88.83","2.49","10.51","8.36","-","2770.15","211.85"
"LTIMindtree Ltd","IT Services & Consulting","175990.31","38.41","27.09","8.79","4.86","23.77","31.04","1.09","3.87","154.85"
"ABB India Ltd","Heavy Electrical Equipments","175453.78","141.26","26.89","29.51","16.32","95.37","129.82","0.29","22.22","58.61"
"SBI Life Insurance Company Ltd","Insurance","171514.35","90.57","16.03","11.50","1.28","77.42","5.89","0.16","10.01","18.92"
"Tech Mahindra Ltd","IT Services & Consulting","166451.86","70.60","40.82","6.13","3.15","29.80","26.10","2.12","-51.33","26.76"
"HDFC Life Insurance Company Ltd","Insurance","160483.16","101.95","23.09","10.94","1.57","151.39","14.97","0.27","14.02","7.32"
"Pidilite Industries Ltd","Diversified Chemicals","160391.27","92.74","8.81","18.61","12.81","57.22","58.88","0.51","35.78","34.01"
"Hindalco Industries Ltd","Metals - Aluminium","158168.13","15.58","19.57","1.49","0.73","7.75","6.57","0.50","0.04","45.18"
"Divi's Laboratories Ltd","Labs & Life Sciences Services","157290.13","98.31","58.53","11.59","19.22","60.24","124.73","0.51","-12.28","60.27"
"Power Finance Corporation Ltd","Specialized Finance","153108.22","7.75","14.74","1.14","1.67","31.06","-","2.91","24.37","59.88"
"Tata Power Company Ltd","Power Transmission & Distribution","145004.51","39.23","6.04","3.78","2.23","13.71","11.51","0.44","10.78","11.56"
"Gail (India) Ltd","Gas Distribution","144421.62","14.59","10.52","1.87","1.06","9.70","11.48","2.50","77.41","15.06"
"Bharat Petroleum Corporation Ltd","Oil & Gas - Refining & Marketing","143886.53","5.36","9.92","1.90","0.32","3.99","4.00","6.24","1158.34","62.96"
"Ambuja Cements Ltd","Cement","140866.03","39.38","-7.20","2.77","4.08","17.84","24.95","0.31","31.44","17.10"
"Samvardhana Motherson International Ltd","Auto Parts","140282.61","51.65","56.12","4.97","1.42","16.40","18.53","0.39","81.61","4.01"
"REC Limited","Specialized Finance","140219.18","9.91","22.55","2.02","2.95","32.41","-","3.00","26.67","53.72"
"Britannia Industries Ltd","FMCG - Foods","139180.93","65.04","21.56","35.09","8.20","41.19","54.09","1.27","-7.84","88.84"
"Godrej Consumer Products Ltd","FMCG - Personal Products","134361.08","-239.70","10.80","10.66","9.35","180.73","64.91","0.76","-132.92","-5.48"
"Eicher Motors Ltd","Trucks & Buses","131835.53","32.95","7.69","7.31","7.30","22.55","35.40","1.06","37.21","146.21"
"TVS Motor Company Ltd","Two Wheelers","129968.51","77.07","40.88","17.30","3.31","27.49","-","0.29","26.92","35.50"
"Bank of Baroda Ltd","Public Banks","127096.57","6.77","-5.94","1.05","0.90","1.01","-","3.10","25.91","36.20"
"Shriram Finance Ltd","Consumer Finance","124583.07","16.91","36.65","2.51","3.42","29.36","-","1.36","5.35","196.38"
"Cipla Ltd","Pharmaceuticals","123057.36","29.86","12.47","4.59","4.64","17.25","29.77","0.85","47.05","51.06"
"Adani Energy Solutions Ltd","Power Infrastructure","122236.52","107.48","-2.44","8.92","7.10","24.94","20.25","-","-10.11","10.20"
"Cholamandalam Investment and Finance Company Ltd","Consumer Finance","120914.43","35.35","26.20","6.17","6.23","52.25","-","0.14","26.88","41.12"
"JSW Energy Ltd","Power Generation","119459.22","69.34","11.96","5.68","9.99","24.93","19.16","0.27","16.55","10.50"
